Company,Ticker,Time,Price
Cadence Design Systems,CDNS,2023-08-08 13:44:06,228.95
Synopys,SNPS,2023-08-08 13:44:07,435.73
Tractor Supply Company,TSCO,2023-08-08 13:44:08,221.56
Lululemon Ahtletica Inc.,LULU,2023-08-08 13:44:09,378.56
Arch Capital Group Ltd.,ACGL,2023-08-08 13:44:09,76.82
Costco Wholesale Corporation,COST,2023-08-08 13:44:10,555.56
Brown & Brown Inc.,BRO,2023-08-08 13:44:11,70.32
Thermo Fisher Scientific Inc.,TMO,2023-08-08 13:44:12,553.46
CDW Corporation,CDW,2023-08-08 13:44:12,201.84
Intuit Inc.,INTU,2023-08-08 13:44:13,498.44
